date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:25	109/109	U-----	200	untouched ('OK')	text/plain	etag:%2226b7f788623fd6aaae10b1f4deb134be%22	https://humorous-cues-870226.framer.app/robots.txt		(from )
20:24:25	720210/720210	U--M-Z	200	updated ('OK')	text/html	etag:%221c3f3c68a3ef796fe1c50fb0ebdf6279%22	https://humorous-cues-870226.framer.app/	/home/saiqalvi/websites/Everwise%20AI/humorous-cues-870226.framer.app/index.html	(from )
20:24:26	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Oct%202025%2015:24:28%20GMT	https://fonts.gstatic.com/	/home/saiqalvi/websites/Everwise%20AI/fonts.gstatic.com/index.html	(from https://humorous-cues-870226.framer.app/)
20:24:26	101317/101317	---M-Z	404	error ('Not%20Found')	text/html	etag:%2287e45adbfed81d43581a9765cfc74586%22	https://humorous-cues-870226.framer.app/[object%20Object]	/home/saiqalvi/websites/Everwise%20AI/humorous-cues-870226.framer.app/[object%20Object].17.delayed	(from https://humorous-cues-870226.framer.app/)
20:24:28	144999/144999	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e5f611d7f7115ed201f55154c0d16289%22	https://framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/react.BXbtVJBm.mjs	/home/saiqalvi/websites/Everwise%20AI/framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/react.BXbtVJBm.mjs	(from https://humorous-cues-870226.framer.app/)
20:24:29	476/476	---M--	200	added ('OK')	text/javascript	etag:%22cd49e99e49ffc6ba4567f497b5ed660e%22	https://framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/rolldown-runtime.DWBkUDXM.mjs	/home/saiqalvi/websites/Everwise%20AI/framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/rolldown-runtime.DWBkUDXM.mjs	(from https://humorous-cues-870226.framer.app/)
20:24:30	139045/139045	---MCZ	200	added ('OK')	text/javascript	etag:W/%226be76558e1cd4f2ed53d6925a96c9a42%22	https://framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/motion.BTpYKaj3.mjs	/home/saiqalvi/websites/Everwise%20AI/framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/motion.BTpYKaj3.mjs	(from https://humorous-cues-870226.framer.app/)
20:24:32	446170/446170	---MCZ	200	added ('OK')	text/javascript	etag:W/%223ab6a163fdf101759d2174a7797a32a5%22	https://framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/framer.7iFotIkx.mjs	/home/saiqalvi/websites/Everwise%20AI/framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/framer.7iFotIkx.mjs	(from https://humorous-cues-870226.framer.app/)
20:24:32	28280/28280	---MCZ	200	added ('OK')	text/javascript	etag:W/%22fc4fe9e574b86343998883bae5027af2%22	https://framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/shared-lib.DsjaKjNE.mjs	/home/saiqalvi/websites/Everwise%20AI/framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/shared-lib.DsjaKjNE.mjs	(from https://humorous-cues-870226.framer.app/)
20:24:33	30465/30465	---MCZ	200	added ('OK')	text/javascript	etag:W/%220fb0748307dac8fc4467849adb308250%22	https://framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/OAmzKixG3.BaEpEvha.mjs	/home/saiqalvi/websites/Everwise%20AI/framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/OAmzKixG3.BaEpEvha.mjs	(from https://humorous-cues-870226.framer.app/)
20:24:35	396183/396183	---MCZ	200	added ('OK')	text/javascript	etag:W/%229a453236149da5d73fe584685b61c770%22	https://framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/hzwXZjoEDKAwiLXzXDmochp_d4LxtcN5OxB-Ut6XVAI.CeWUh-yr.mjs	/home/saiqalvi/websites/Everwise%20AI/framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/hzwXZjoEDKAwiLXzXDmochp_d4LxtcN5OxB-Ut6XVAI.CeWUh-yr.mjs	(from https://humorous-cues-870226.framer.app/)
20:24:35	992/992	---M--	200	added ('OK')	text/javascript	etag:%2261850bde3dbca61fdf62481e69c87e9f%22	https://framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/GIXEsvSRK.DlBSD8O9.mjs	/home/saiqalvi/websites/Everwise%20AI/framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/GIXEsvSRK.DlBSD8O9.mjs	(from https://humorous-cues-870226.framer.app/)
20:24:36	61568/61568	---MCZ	200	added ('OK')	text/javascript	etag:W/%22abd656bc13179c3994db24ff302a3d43%22	https://framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/script_main.D1DnsrG6.mjs	/home/saiqalvi/websites/Everwise%20AI/framerusercontent.com/sites/5Y9DEQxMCvbMN9jRxVBSwL/script_main.D1DnsrG6.mjs	(from https://humorous-cues-870226.framer.app/)
20:24:37	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Oct%202025%2015:24:39%20GMT	https://fonts.gstatic.com/robots.txt		(from https://humorous-cues-870226.framer.app/)
20:24:38	49/49	U-----	200	untouched ('OK')	text/plain	date:Fri,%2026%20Sep%202025%2015:08:22%20GMT	https://framerusercontent.com/robots.txt		(from https://humorous-cues-870226.framer.app/)
